(1,-1.962e-05)
(1,-0.00070632)
(0.999997,-0.00237402)
(0.999988,-0.0050227)
(0.999964,-0.0086523)
(0.999915,-0.0132627)
(0.999828,-0.0188535)
(0.999686,-0.0254244)
(0.999469,-0.0329743)
(0.999157,-0.0415021)
(0.998724,-0.0510058)
(0.998142,-0.061483)
(0.99738,-0.0729301)
(0.996407,-0.0853428)
(0.995184,-0.0987152)
(0.993675,-0.11304)
(0.991837,-0.128309)
(0.989626,-0.144511)
(0.986997,-0.161632)
(0.983901,-0.179659)
(0.980287,-0.198572)
(0.976103,-0.218351)
(0.971295,-0.238972)
(0.965807,-0.260407)
(0.959582,-0.282626)
(0.952562,-0.305591)
(0.94469,-0.329265)
(0.935905,-0.353603)
(0.926151,-0.378556)
(0.91537,-0.404072)
(0.903504,-0.430092)
(0.890499,-0.456552)
(0.876303,-0.483383)
(0.860865,-0.510513)
(0.844139,-0.537862)
(0.826082,-0.565346)
(0.806657,-0.592877)
(0.785829,-0.620362)
(0.763573,-0.647703)
(0.739867,-0.674799)
(0.714697,-0.701546)
(0.688058,-0.727835)
(0.659952,-0.753558)
(0.630387,-0.778603)
(0.599384,-0.802858)
(0.566971,-0.826212)
(0.533184,-0.848553)
(0.498071,-0.869773)
(0.461688,-0.889765)
(0.4241,-0.908427)
(0.385382,-0.925662)
(0.345618,-0.941378)
(0.304898,-0.955489)
(0.263323,-0.967918)
(0.220998,-0.978596)
(0.178036,-0.987462)
(0.134555,-0.994466)
(0.0906787,-0.999569)
(0.0465314,-1.00274)
(0.00224173,-1.00396)
(-0.042061,-1.00323)
(-0.0862473,-1.00055)
(-0.130189,-0.995931)
(-0.17376,-0.989407)
(-0.216837,-0.981014)
(-0.259301,-0.970801)
(-0.30104,-0.958827)
(-0.341945,-0.945159)
(-0.381917,-0.929874)
(-0.420863,-0.913055)
(-0.458699,-0.894793)
(-0.495348,-0.875185)
(-0.530743,-0.854332)
(-0.564828,-0.832338)
(-0.597553,-0.809313)
(-0.62888,-0.785366)
(-0.658779,-0.760608)
(-0.687229,-0.735152)
(-0.714219,-0.709108)
(-0.739745,-0.682585)
(-0.763812,-0.655691)
(-0.786432,-0.628531)
(-0.807624,-0.601206)
(-0.827414,-0.573813)
(-0.845833,-0.546447)
(-0.862918,-0.519196)
(-0.87871,-0.492145)
(-0.893255,-0.465374)
(-0.906601,-0.438955)
(-0.9188,-0.41296)
(-0.929907,-0.387453)
(-0.939975,-0.362492)
(-0.949063,-0.338132)
(-0.957228,-0.314422)
(-0.964529,-0.291408)
(-0.971022,-0.26913)
(-0.976765,-0.247623)
(-0.981816,-0.226921)
(-0.986228,-0.207051)
(-0.990057,-0.188039)
(-0.993355,-0.169906)
(-0.996171,-0.152672)
(-0.998556,-0.136352)
(-1.00055,-0.120959)
(-1.00221,-0.106506)
(-1.00357,-0.0930014)
(-1.00466,-0.0804535)
