(0.793128,-0.657218)
(0.81502,-0.630007)
(0.83552,-0.602697)
(0.854656,-0.57538)
(0.872463,-0.548145)
(0.888977,-0.521076)
(0.904243,-0.494252)
(0.918304,-0.467748)
(0.93121,-0.441635)
(0.943012,-0.415977)
(0.953764,-0.390834)
(0.96352,-0.366261)
(0.972334,-0.342311)
(0.980264,-0.319028)
(0.987366,-0.296456)
(0.993694,-0.274631)
(0.999305,-0.253587)
(1.00425,-0.233355)
(1.00859,-0.213962)
(1.01237,-0.19543)
(1.01564,-0.177781)
(1.01845,-0.161031)
(1.02084,-0.145196)
(1.02287,-0.130289)
(1.02456,-0.11632)
(1.02597,-0.1033)
(1.02712,-0.0912346)
(1.02805,-0.0801306)
(1.0288,-0.0699929)
(1.02938,-0.0608253)
(1.02984,-0.0526307)
(1.03018,-0.0454115)
(1.03044,-0.0391693)
(1.03062,-0.0339054)
(1.03076,-0.0296207)
(1.03084,-0.0263157)
(1.0309,-0.0239908)
(1.03093,-0.0226463)
(1.03093,-0.0222824)
(1.03092,-0.0228989)
(1.03088,-0.024496)
(1.03081,-0.0270733)
(1.03071,-0.0306308)
(1.03057,-0.035168)
(1.03036,-0.0406842)
(1.03009,-0.0471785)
(1.02972,-0.0546496)
(1.02924,-0.0630957)
(1.02862,-0.0725145)
(1.02784,-0.0829028)
(1.02687,-0.0942567)
(1.02568,-0.106571)
(1.02422,-0.119839)
(1.02247,-0.134054)
(1.02038,-0.149207)
(1.01792,-0.165285)
(1.01504,-0.182275)
(1.01168,-0.200163)
(1.00781,-0.21893)
(1.00338,-0.238556)
(0.998322,-0.259015)
(0.992596,-0.280282)
