t,X0,Y0,Z0,X'0,Y'0,Z'0
0.730000,-0.558771,-0.829322,0.000000,-3.345294,2.253953,0.000000
0.740000,-0.591535,-0.806279,0.000000,-3.206844,2.352732,0.000000
0.750000,-0.622896,-0.782305,0.000000,-3.064879,2.440354,0.000000
0.760000,-0.652824,-0.757510,0.000000,-2.920329,2.516747,0.000000
0.770000,-0.681297,-0.732007,0.000000,-2.774102,2.581924,0.000000
0.780000,-0.708303,-0.705908,0.000000,-2.627072,2.635984,0.000000
0.790000,-0.733839,-0.679324,0.000000,-2.480075,2.679096,0.000000
0.800000,-0.757908,-0.652362,0.000000,-2.333902,2.711502,0.000000
0.810000,-0.780522,-0.625129,0.000000,-2.189291,2.733500,0.000000
0.820000,-0.801701,-0.597726,0.000000,-2.046927,2.745444,0.000000
0.830000,-0.821470,-0.570252,0.000000,-1.907434,2.747732,0.000000
0.840000,-0.839861,-0.542802,0.000000,-1.771378,2.740800,0.000000
0.850000,-0.856911,-0.515465,0.000000,-1.639262,2.725113,0.000000
0.860000,-0.872661,-0.488327,0.000000,-1.511526,2.701159,0.000000
0.870000,-0.887157,-0.461468,0.000000,-1.388550,2.669442,0.000000
0.880000,-0.900449,-0.434962,0.000000,-1.270653,2.630474,0.000000
0.890000,-0.912588,-0.408881,0.000000,-1.158096,2.584772,0.000000
0.900000,-0.923629,-0.383288,0.000000,-1.051082,2.532849,0.000000
0.910000,-0.933629,-0.358243,0.000000,-0.949764,2.475210,0.000000
0.920000,-0.942644,-0.333801,0.000000,-0.854241,2.412351,0.000000
0.930000,-0.950733,-0.310012,0.000000,-0.764568,2.344751,0.000000
0.940000,-0.957955,-0.286920,0.000000,-0.680755,2.272870,0.000000
0.950000,-0.964367,-0.264567,0.000000,-0.602772,2.197149,0.000000
0.960000,-0.970029,-0.242989,0.000000,-0.530552,2.118004,0.000000
0.970000,-0.974997,-0.222217,0.000000,-0.463997,2.035828,0.000000
0.980000,-0.979328,-0.202281,0.000000,-0.402978,1.950987,0.000000
0.990000,-0.983075,-0.183205,0.000000,-0.347341,1.863821,0.000000
1.000000,-0.986292,-0.165011,0.000000,-0.296906,1.774643,0.000000
1.010000,-0.989030,-0.147718,0.000000,-0.251478,1.683739,0.000000
1.020000,-0.991337,-0.131341,0.000000,-0.210839,1.591369,0.000000
1.030000,-0.993262,-0.115895,0.000000,-0.174761,1.497766,0.000000
1.040000,-0.994847,-0.101389,0.000000,-0.143001,1.403140,0.000000
1.050000,-0.996135,-0.087835,0.000000,-0.115305,1.307674,0.000000
1.060000,-0.997166,-0.075238,0.000000,-0.091413,1.211531,0.000000
1.070000,-0.997975,-0.063606,0.000000,-0.071055,1.114849,0.000000
1.080000,-0.998598,-0.052943,0.000000,-0.053958,1.017749,0.000000
1.090000,-0.999064,-0.043252,0.000000,-0.039844,0.920330,0.000000
1.100000,-0.999404,-0.034537,0.000000,-0.028430,0.822675,0.000000
1.110000,-0.999641,-0.026799,0.000000,-0.019433,0.724852,0.000000
1.120000,-0.999799,-0.020040,0.000000,-0.012566,0.626913,0.000000
1.130000,-0.999899,-0.014261,0.000000,-0.007544,0.528900,0.000000
1.140000,-0.999956,-0.009462,0.000000,-0.004077,0.430841,0.000000
1.150000,-0.999984,-0.005644,0.000000,-0.001879,0.332758,0.000000
1.160000,-0.999996,-0.002807,0.000000,-0.000659,0.234663,0.000000
1.170000,-1.000000,-0.000951,0.000000,-0.000130,0.136564,0.000000
1.180000,-1.000000,-0.000076,0.000000,-0.000003,0.038464,0.000000
1.190000,-1.000000,-0.000182,0.000000,0.000010,-0.059636,0.000000
1.200000,-1.000000,-0.001269,0.000000,0.000200,-0.157736,0.000000
1.210000,-0.999995,-0.003336,0.000000,0.000853,-0.255834,0.000000
1.220000,-0.999980,-0.006385,0.000000,0.002259,-0.353927,0.000000
1.230000,-0.999946,-0.010415,0.000000,0.004707,-0.452006,0.000000
1.240000,-0.999881,-0.015425,0.000000,0.008485,-0.550057,0.000000
1.250000,-0.999771,-0.021416,0.000000,0.013881,-0.648057,0.000000
1.260000,-0.999597,-0.028386,0.000000,0.021183,-0.745975,0.000000
1.270000,-0.999340,-0.036335,0.000000,0.030678,-0.843767,0.000000
1.280000,-0.998976,-0.045261,0.000000,0.042651,-0.941377,0.000000
1.290000,-0.998478,-0.055162,0.000000,0.057385,-1.038735,0.000000
1.300000,-0.997818,-0.066034,0.000000,0.075162,-1.135754,0.000000
1.310000,-0.996963,-0.077875,0.000000,0.096260,-1.232330,0.000000
1.320000,-0.995881,-0.090679,0.000000,0.120950,-1.328340,0.000000
1.330000,-0.994532,-0.104440,0.000000,0.149501,-1.423639,0.000000
1.340000,-0.992877,-0.119149,0.000000,0.182173,-1.518061,0.000000
1.350000,-0.990874,-0.134797,0.000000,0.219215,-1.611416,0.000000
1.360000,-0.988477,-0.151373,0.000000,0.260868,-1.703490,0.000000
1.370000,-0.985640,-0.168862,0.000000,0.307359,-1.794045,0.000000
1.380000,-0.982313,-0.187248,0.000000,0.358900,-1.882814,0.000000
1.390000,-0.978445,-0.206511,0.000000,0.415685,-1.969505,0.000000
1.400000,-0.973981,-0.226630,0.000000,0.477887,-2.053801,0.000000
1.410000,-0.968868,-0.247578,0.000000,0.545654,-2.135355,0.000000
1.420000,-0.963049,-0.269327,0.000000,0.619110,-2.213794,0.000000
1.430000,-0.956467,-0.291843,0.000000,0.698347,-2.288723,0.000000
1.440000,-0.949063,-0.315088,0.000000,0.783424,-2.359718,0.000000
1.450000,-0.940779,-0.339022,0.000000,0.874362,-2.426335,0.000000
1.460000,-0.931556,-0.363599,0.000000,0.971141,-2.488108,0.000000
1.470000,-0.921337,-0.388767,0.000000,1.073699,-2.544556,0.000000
1.480000,-0.910063,-0.414470,0.000000,1.181923,-2.595180,0.000000
1.490000,-0.897680,-0.440649,0.000000,1.295652,-2.639472,0.000000
1.500000,-0.884133,-0.467237,0.000000,1.414669,-2.676919,0.000000
1.510000,-0.869370,-0.494163,0.000000,1.538701,-2.707003,0.000000
1.520000,-0.853343,-0.521351,0.000000,1.667417,-2.729215,0.000000
1.530000,-0.836007,-0.548719,0.000000,1.800423,-2.743054,0.000000
1.540000,-0.817322,-0.576182,0.000000,1.937265,-2.748034,0.000000
1.550000,-0.797251,-0.603649,0.000000,2.077427,-2.743698,0.000000
1.560000,-0.775764,-0.631024,0.000000,2.220331,-2.729617,0.000000
1.570000,-0.752837,-0.658208,0.000000,2.365339,-2.705401,0.000000
1.580000,-0.728453,-0.685097,0.000000,2.511754,-2.670708,0.000000
