t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X'0,Y'0,Z'0,X'1,Y'1,Z'1,X'2,Y'2,Z'2
6.200000,0.386769,-0.922177,0.000000,-0.277066,-1.670055,0.000000,-0.068971,-0.691947,0.000000,1.023101,0.429098,0.000000,-4.376755,5.222140,0.000000,1.268098,4.021185,0.000000
6.217000,0.400227,-0.916416,0.000000,-0.348562,-1.579225,0.000000,-0.047562,-0.625601,0.000000,0.568863,0.248440,0.000000,-4.035522,5.450106,0.000000,1.248904,3.782140,0.000000
6.234000,0.406350,-0.913717,0.000000,-0.414291,-1.485162,0.000000,-0.026564,-0.563387,0.000000,0.157206,0.069913,0.000000,-3.697377,5.605413,0.000000,1.220061,3.536985,0.000000
6.250000,0.405942,-0.913899,0.000000,-0.470900,-1.394677,0.000000,-0.007305,-0.508630,0.000000,-0.204946,-0.091035,0.000000,-3.378531,5.696939,0.000000,1.186376,3.308505,0.000000
6.267000,0.399315,-0.916814,0.000000,-0.525444,-1.297366,0.000000,0.012527,-0.454403,0.000000,-0.572286,-0.249257,0.000000,-3.038213,5.743057,0.000000,1.146312,3.072534,0.000000
6.284000,0.386553,-0.922267,0.000000,-0.574196,-1.199687,0.000000,0.031659,-0.404112,0.000000,-0.927494,-0.388743,0.000000,-2.697422,5.740799,0.000000,1.104367,2.845621,0.000000
6.300000,0.369096,-0.929391,0.000000,-0.614800,-1.108130,0.000000,0.049013,-0.360232,0.000000,-1.253280,-0.497724,0.000000,-2.378699,5.697310,0.000000,1.065012,2.640773,0.000000
6.317000,0.344910,-0.938636,0.000000,-0.652398,-1.011961,0.000000,0.066772,-0.317127,0.000000,-1.590532,-0.584455,0.000000,-2.045963,5.609966,0.000000,1.024629,2.431829,0.000000
6.334000,0.315081,-0.949065,0.000000,-0.684424,-0.917613,0.000000,0.083862,-0.277506,0.000000,-1.916547,-0.636277,0.000000,-1.723968,5.483636,0.000000,0.986310,2.230636,0.000000
6.350000,0.282052,-0.959399,0.000000,-0.709676,-0.831041,0.000000,0.099367,-0.243291,0.000000,-2.209569,-0.649586,0.000000,-1.435246,5.333043,0.000000,0.952013,2.046961,0.000000
6.367000,0.241978,-0.970282,0.000000,-0.731604,-0.741944,0.000000,0.115250,-0.210119,0.000000,-2.501160,-0.623762,0.000000,-1.148292,5.144570,0.000000,0.916727,1.856328,0.000000
